행정동,지번,사유
사당1동,32-107,API 결과 없음
사당1동,11902,API 결과 없음
사당1동,32-108,API 결과 없음
사당1동,32-92,API 결과 없음
사당1동,32-93,API 결과 없음
사당3동,708-530,API 결과 없음
사당3동,211-2,API 결과 없음
사당3동,208-17,API 결과 없음
사당1동,45322,API 결과 없음
사당1동,31-37,API 결과 없음
상도1동,49-121,API 결과 없음
상도1동,103-4,API 결과 없음
상도1동,49-120,API 결과 없음
상도1동,49-115,API 결과 없음
사당5동,188-51,API 결과 없음
사당4동,산 25-33,API 결과 없음
사당4동,712-14,API 결과 없음
사당1동,318-78,API 결과 없음
사당1동,24-33,API 결과 없음
사당1동,24-17,API 결과 없음
사당3동,18-38,API 결과 없음
상도1동,12601,API 결과 없음
상도2동,34-21,API 결과 없음
상도2동,13241,API 결과 없음
상도2동,45374,API 결과 없음
상도2동,45316,API 결과 없음
상도4동,347-6,API 결과 없음
상도4동,354-7,API 결과 없음
상도1동,64-34,API 결과 없음
상도1동,64-35,API 결과 없음
상도1동,16041,API 결과 없음
흑석동,산 43-12,API 결과 없음
상도3동,188-42,API 결과 없음
상도2동,157-67,API 결과 없음
흑석동,45390,API 결과 없음
흑석동,36220,API 결과 없음
흑석동,231-7,API 결과 없음
상도1동,49-182,API 결과 없음
상도1동,49-155,API 결과 없음
상도1동,49-103,API 결과 없음
상도1동,49-130,API 결과 없음
상도1동,49-124,API 결과 없음
사당1동,32-61,API 결과 없음
사당1동,32-59,API 결과 없음
사당1동,32-82,API 결과 없음
노량진1동,45601,API 결과 없음
노량진1동,45387,API 결과 없음
노량진1동,24504,API 결과 없음
신대방1동,994-26,API 결과 없음
신대방1동,993-59,API 결과 없음
신대방1동,990-130,API 결과 없음
신대방1동,980-1,API 결과 없음
신대방1동,981-7,API 결과 없음
신대방1동,961-3,API 결과 없음
신대방1동,962-3,API 결과 없음
신대방1동,960-2,API 결과 없음
신대방1동,459-5,API 결과 없음
상도4동,211-449,API 결과 없음
상도2동,204-178,API 결과 없음
상도2동,159-250,API 결과 없음
상도2동,159-5,API 결과 없음
상도4동,204-336,API 결과 없음
대방동,23-176,API 결과 없음
대방동,23-186,API 결과 없음
대방동,14277,API 결과 없음
대방동,45405,API 결과 없음
대방동,13547,API 결과 없음
상도1동,65-195,API 결과 없음
상도1동,65-197,API 결과 없음
상도1동,65-244,API 결과 없음
상도4동,산 65-172,API 결과 없음
상도4동,산 65-74,API 결과 없음
상도4동,210-425,API 결과 없음
상도4동,산 65-53,API 결과 없음
상도4동,산 65-52,API 결과 없음
상도4동,산 65-178,API 결과 없음
상도4동,산 65-258,API 결과 없음
상도4동,산 65-171,API 결과 없음
상도4동,산 65-190,API 결과 없음
신대방1동,149-5,API 결과 없음
신대방2동,470-16,API 결과 없음
신대방2동,408-2,API 결과 없음
신대방2동,353-3,API 결과 없음
대방동,25143,API 결과 없음
대방동,45580,API 결과 없음
대방동,15-51,API 결과 없음
대방동,15-45,API 결과 없음
대방동,350-2,API 결과 없음
대방동,23-189,API 결과 없음
신대방1동,4785,API 결과 없음
신대방1동,4321,API 결과 없음
신대방1동,4302,API 결과 없음
신대방1동,381-7,API 결과 없음
대방동,4880,API 결과 없음
노량진2동,23285,API 결과 없음
노량진2동,20121,API 결과 없음
노량진2동,18264,API 결과 없음
노량진2동,231-124,API 결과 없음
노량진2동,17899,API 결과 없음
노량진2동,902,API 결과 없음
노량진2동,310-189,API 결과 없음
노량진2동,310-188,API 결과 없음
노량진1동,84-109,API 결과 없음
노량진1동,19998,API 결과 없음
상도2동,302-427,API 결과 없음
흑석동,143-79,API 결과 없음
흑석동,170-80,API 결과 없음
흑석동,170-12,API 결과 없음
흑석동,173-5,API 결과 없음
흑석동,173-47,API 결과 없음
흑석동,173-11,API 결과 없음
흑석동,173-201,API 결과 없음
흑석동,173-170,API 결과 없음
노량진1동,45433,API 결과 없음
노량진1동,45432,API 결과 없음
노량진1동,45418,API 결과 없음
노량진1동,45434,API 결과 없음
노량진1동,45358,API 결과 없음
노량진1동,45331,API 결과 없음
노량진1동,45324,API 결과 없음
흑석동,172-7,API 결과 없음
흑석동,122-1,API 결과 없음
흑석동,114-22,API 결과 없음
흑석동,45298,API 결과 없음
흑석동,45521,API 결과 없음
흑석동,45513,API 결과 없음
흑석동,45557,API 결과 없음
흑석동,45315,API 결과 없음
흑석동,45347,API 결과 없음
흑석동,45570,API 결과 없음
흑석동,30803,API 결과 없음
흑석동,12420,API 결과 없음
흑석동,45379,API 결과 없음
흑석동,45440,API 결과 없음
사당2동,16132,API 결과 없음
흑석동,33-191,API 결과 없음
흑석동,45319,API 결과 없음
흑석동,산 44-5,API 결과 없음
사당2동,16193,API 결과 없음
사당2동,15523,API 결과 없음
사당2동,15585,API 결과 없음
사당2동,16224,API 결과 없음
사당2동,16438,API 결과 없음
사당2동,124-5,API 결과 없음
사당2동,45321,API 결과 없음
사당2동,45351,API 결과 없음
사당2동,203-5,API 결과 없음
흑석동,163-2,API 결과 없음
흑석동,169-34,API 결과 없음
상도1동,211-33,API 결과 없음
흑석동,45389,API 결과 없음
